No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1.0,9.0,1uF,"C1,C2,C3,C4,C6,C7,C9,C11,C12",C0603,1uF,,,,
2.0,3.0,100nF,"C5,C8,C10",C0603,100nF,,,,
3.0,4.0,KT-0805G,"LED1,LED2,LED3,LED4",LED0805-R-RD,,KT-0805G,KENTO,C2297,LCSC
4.0,2.0,5.1K,"R1,R2",R0603,5.1K,,,,
5.0,4.0,56k,"R3,R4,R5,R6",R0603,56k,,,,
6.0,4.0,470R,"R7,R8,R9,R10",R0603,470R,,,,
7.0,1.0,SL2.1s,U1,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,,SL2.1s,CoreChips(和芯润德),C2684433,LCSC
8.0,3.0,TYPE-C 16PIN 2MD(073),"USB1,USB3,USB4",USB-C-SMD_TYPE-C-16PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(首韩),C2765186,LCSC
9.0,3.0,10.0 QHHTZB6.3,"USB2,USB5,USB6",USB-A-TH_10.0QHHTZB6.3,,10.0 QHHTZB6.3,SHOU HAN(首韩),C668591,LCSC
,,,,,,,,,
